Date,Max Temp,Min Temp,Mean Temp,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
2022-01-01,58,43,50.5,20.3,14,0,0.89,0.0,0
2022-01-02,43,27,35.0,5.0,30,0,0.05,T,0
2022-01-03,27,20,23.5,-6.4,41,0,T,T,0
2022-01-04,38,18,28.0,-1.7,37,0,0.00,0.0,0
2022-01-05,49,29,39.0,9.4,26,0,0.00,0.0,0
2022-01-06,29,17,23.0,-6.4,42,0,0.15,1.5,0
2022-01-07,21,13,17.0,-12.3,48,0,0.17,0.9,1
2022-01-08,35,6,20.5,-8.7,44,0,T,0.0,2
2022-01-09,42,24,33.0,4.0,32,0,0.48,T,0
2022-01-10,24,17,20.5,-8.4,44,0,T,0.1,0
2022-01-11,25,12,18.5,-10.3,46,0,T,0.1,0
2022-01-12,43,25,34.0,5.3,31,0,0.00,0.0,0
2022-01-13,42,34,38.0,9.3,27,0,0.04,T,0
2022-01-14,35,23,29.0,0.4,36,0,T,T,0
2022-01-15,23,14,18.5,-10.0,46,0,0.00,0.0,0
2022-01-16,30,12,21.0,-7.5,44,0,0.30,3.5,0
2022-01-17,30,24,27.0,-1.4,38,0,0.37,5.7,7
2022-01-18,29,24,26.5,-1.9,38,0,0.01,0.3,8
2022-01-19,45,26,35.5,7.1,29,0,0.01,0.1,5
2022-01-20,31,12,21.5,-6.9,43,0,0.02,0.5,4
2022-01-21,20,5,12.5,-15.8,52,0,T,T,4
2022-01-22,25,-2,11.5,-16.9,53,0,0.00,0.0,4
2022-01-23,28,14,21.0,-7.4,44,0,0.18,3.1,4
2022-01-24,31,13,22.0,-6.4,43,0,0.18,2.2,6
2022-01-25,31,8,19.5,-8.9,45,0,T,T,7
2022-01-26,17,-1,8.0,-20.5,57,0,T,T,6
2022-01-27,31,-6,12.5,-16.0,52,0,0.01,0.1,6
2022-01-28,29,13,21.0,-7.6,44,0,0.13,1.1,7
2022-01-29,18,2,10.0,-18.7,55,0,T,T,7
2022-01-30,24,1,12.5,-16.3,52,0,T,T,7
2022-01-31,36,5,20.5,-8.4,44,0,0.00,T,7
